Review,label
"В приложении написано что работает, хотя на деле пару закрыт до следующего сезона",negative
Нигде нет информации что парк развлечений не работает.,negative
"Не оч, как не приду часть аттракционов закрыта",neutral
,positive
Кто знает до кaкого числа работает парк? 31-октября например?,positive
Лучший парк,positive
"Отвратительный парк! На кассе говорят что все работают , а по факту 80% аттракционов на «техническом перерыве» пожизненно😡",negative
Тут очень круто и весело!!🔥🔥🔥🔥,positive
Аэуэаэвээеэкэаавевеаеав,positive
,neutral
Очень классно и очень вкусноо,positive
Все классно !) очень понравилось,positive
"Супер, тек әжетханалары онша емес.",positive
В пн работаете? Кто знает? И в дождь например,positive
,neutral
Очень хорошо доехали мир фэнтази лучший крутые эмоции,positive
ашалели с такими ценами,neutral
Очень красивая место 🥰,positive
аттракционы классные)),positive
ужасные очереди,neutral
Крутой парк,positive
Очень рано закрывается парк,negative
Әдемы ресторан обслужвание ноль,negative
,negative
"Ребята, один контролёр для двух аттракционов, ну такое... цена такая же, сервис ниже...",negative
,negative
"Классный парк ,отличная,цена!",positive
много страшных аттракционов,positive
"Для большинства аттракционов в мире допустимый срок службы составляет до 9 лет, а тут им за 20 лет точно , ужс просто",negative
,negative
Отличный парк развлечений.Очень интересно и увлекательно.,positive
Просто пушка,positive
"Дорого, год назад было 5000",positive
,positive
Очереди большие,positive
Слишком грязный туалет,negative
Суййййййй...,positive
цена сильно завышена как для аттракционов 10-20 летней давности,neutral
у ажара щовел,positive
"Дорого уже, тем более для повторных посящений, диванчик так и не вернули",positive
"Цены перевалили свой максимум , ничего ведь нового в парке нет , откуда такая цена",negative
"аттракционы старые, буквально 2-3 аттракциона нормальные более менее. Очередь бешенная.",neutral
Чуть не умер,negative
"Все очень дорого , аттракционы старые",negative
"Цены конечно неоправданно дорогие, аттракционы не меняются , а цены выше и выше. Все старое",negative
,positive
Было бы 10звезд если бы не очереди,positive
Парк моего детства,positive
"Атракциондары ескілеу демесең қызықты жер, балаларыма ұнады",positive
,positive
как будто в детстве вернулась 🥹❤️,positive
"В выходные очень большие очереди,в целом настроение не испортили",positive
Давно пора заменить аттракционы на более новые,neutral
"Нижний туалет во сколько закрывается ? 18:20 пришла , техничка наругала , д… что ли ?",negative
,negative
Долго стоять в очереди,positive
Мен екеуің мені неге шақырмай сындар,negative
Работают до 20:00! В 2гис пишут что до 21:00.,negative
,negative
,negative
супера аааа,positive
,negative
,positive
,positive
Тука фууу 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,positive
Большая очередь. Цены дорогие.,negative
"Красиво, весело, интересно. Нам снова здесь понравилось. Но цены выросли, а развлечения - нет.",positive
,positive
"столько людей как в этом фентези больше нигде не видела, очередь ждешь по 50 минут",neutral
Бармаң советю,negative
,positive
"мне понравилось.это классный парк,да и цены норм(не на всём!!!).советую🤘🏼🤘🏼",positive
,neutral
"Заплатить 8тыс за что? Для взрослых пару аттракционов только есть. Скамеры в общем , не рекомендую посещать сие место",negative
,negative
,negative
,negative
,neutral
круто я была,positive
Есть намазхана,positive
"С семьей примерно раз в год Ходим в парк фэнтази, беременным вход бесплатный.",positive
Потрясающе вкусная картошка!,positive
"Не понравилось) безконечные очереды, персоналы ужасные, цены убитые",negative
,negative
,negative
Мир матов кайф,positive
"очень много народу, да еще и билеты как дороговато стоят🤷‍♂️",neutral
Очень красивая крутое место ❤️❤️,positive
"Есть детская площадка, здесь достаточно красиво",positive
,negative
,positive
,positive
иуиуиуиуолороо,positive
,negative
Капец много людей,positive
Вы в вы выыы,neutral
"Ценник конь, за парочку аттракционов",negative
,positive
"очередь жуткая и если с семьей, то дороговато будет конечно((",positive
,negative
,negative
очередь ужасная,positive
,positive
"Круто🤩🤩 всем советую, цена стоит своего прибывания",positive
,negative
РОМАШКА НЕ РАБОТАЕТ!!!! В ремонте все приходят ради ромашки а она в ремонте блээээ,negative
Выпечка очень вкусная👍,positive
Очень большая очередь 😂,positive
"Есть люди которые стоят с конкурсом съешь два печенья за минуту,съедается а обещанного приза не дают",negative
"Здравствуйте, у вас все еще есть ночной тариф?",positive
"Чтобы приобрести Вип билет ждал 40 минут! Вот такое начальное вип обслуживание, в остальном норм",neutral
"Аттракционы не работают, в пустую потраченные деньги, большие очереди, дизлайк",negative
,negative
Бағасы өте қымбат. Көп карусельдер жұмыс жасамайды. Әр карусельге сағаттап кезекте тұрасың,negative
,negative
,negative
,negative
Классные аттракционы,positive
,neutral
,negative
"Отличные эмоции после катания, ушли довольными в тот день",positive
Получается дети из-за того что они выше 130см оплачивают как взрослые? В чем прикол? Не все дети до 130 см только растут,negative
,negative
,negative
Круто в очереди,positive
очереди много нас выгнали за то что я упал,negative
Дорого но очень классно,positive
Все норм кроме очередей,positive
сушняк кымбат,negative
,neutral
,negative
Аттракционы не работают. За вход заплатили 11 тыс,negative
,negative
Омыр баки демалыс жумысшыларын жумыссын былмейды,negative
"Никогда не ставил одну звезду, но это место запустили полностью. Сервиса нет, цены не обосновано завышены. Половина аттракционов не работают.",negative
,negative
,negative
,neutral
очень классно,positive
,negative
,negative
"его зовут дамир и он очконул сесть на большой лифт, а потом очконул сесть на маленький лифт😹🙏

Сделайте ради него меньше!!!",positive
"Достаточно красивый парк развлечений, мы здесь часто проводим время",positive
"Все фигня, картошка спираль бомба. Респект пацанам что занимаются таким, дарят лучший эмоции",positive
,negative
"Невозможно людей много , за пол дня на двух каруселях покатались 😒😒😒😒",negative
,negative
почему такие огромные очереди? сделайте что-нибудь,negative
Поставьте новые аттракционы🙏🙏,positive
Неоправданно дорого,negative
Аттракционы интересные 🔥🔥🔥,positive
,negative
——/—————————————————,neutral
его зовут санжар и он очконул сесть на ромашку😹🙏,positive
"Цена 0,5 воды просто 🤡
А так норм",positive
,positive
,negative
Очень большие очереди,positive
Цены на сайте не соответствует реальности,negative
"Парк конечно классный, но цена растет с каждым годом, хотя ничего нового в нем не добавляется",positive
,neutral
Большие очереди,positive
"Спасибо охраннику, сразу нашел сережки на аттракционе)",positive
Картошка спираль очень вкусная спасибо ребятам,positive
Худший парк в мире просто,negative
,negative
Пряям күшті керемет парк 🤩 атракциондары күшті 👍🏻,positive
"Интересно, увлекательно, платишь 1 раз и сколько хочешь наслаждаешься",positive
"Хороший парк. Для потенциальных посетителей: есть вип билетники, которые проходят без очереди.",neutral
"Очереди огромные , цены поднимают все выше и выше",neutral
,negative
Круто 👌🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
"Мало аттракционов, бешенные цены и очереди",positive
,positive
,positive
Өте жақсы маған ұнады,positive
,negative
Все хорошо но хотелось бы что нибудь нового. Каждый год одно и тоже ничего не обновляется,positive
"Снижаю 1 звезду за очень дорогие магазины в самом парке, вода 900 тг 0,5 , что за цены такие? И выйти и зайти обратно нельзя.",positive
Цены тут до марса а очередь тоже до марса еба я хуеееu,negative
Мына жерді ешқандай қала қонақтарына және қала тұрғындарына келуге кеңес бермеимін Мына жердің басшысы таза ашкөз біреу екен ең жаман жер бармаңдар,negative
,positive
Норм очередь аз болғанда,neutral
,positive
,negative
Такой кайф мне очень понравилось,positive
Весело 😁Аа,positive
,positive
Великолепно,positive
Картошка дайныдаган балалар молодец,positive
"В целом хорошо но вот Аттракцион ""shake"" надо смело убрать от него все страдают у меня даже затошнило чуть не вырвал",positive
,positive
"пойдет было весело
очень много перерывов и рабочий персонал иной раз сам будто не разбирается в управлении аттракционов😜🤟🏻",positive
,negative
"Интересный парк для детей, один минус огромные очереди. Дети в восторге.",positive
,neutral
дорого и очередь🤬,negative
Бағасы қымбат бырак аттракциондар оте кушты,positive
,neutral
Ребенок остался доволен,positive
,neutral
,positive
"Цены загнули, особенно на напитки, вода 0,5 700тг, 0,5 фьюс ти 800 тг",positive
,negative
цены за билет слишком дорогие,positive
,neutral
,negative
Очень много людеей и наглые не знают что такое очередь🥲,positive
"Оборудование старое. Больно. Дорого. А аттракционы ""Шэйк"" и ""Ромашка"" это нечеловеческая пытка",negative
Как-будто раньше было поинтересней 😅 атракционов было больше,positive
"Невозможная толпа и в самом парке и к аттракциону тем более. Стоишь и ждешь по несколько часов, но аттракционы действительно классные.",neutral
"Бітпейтін кезек… көңіл көтеруге барам деп ойлайсың, бірақ нерв болып қайтасың ..",negative
Шикарное место! Аттракционы просто супер🎉 Ходили вместе с семьёй нагулялись на ура. Всем советую кто приезжает в город Алматы отдохнуть.,positive
,negative
Очень понравился!,positive
,negative
"Прекрасный парк, приемлемые цены.",positive
"Хороший парк, то что людей много это и так понятно, цены хорошие.",positive
,negative
,neutral
Слишком дорого и не стоит своих денег.,neutral
,negative
,negative
"Поставила бы 5, но слишком дорого, из-за очередей только успели на 5 аттракционах прокатиться",neutral
всем советую если не сказать про очередь,positive
Вечером кушты прям,positive
"Очень веселое место, но боюсь сама кататься на страшных аттракционов. И тама очень много очереди",positive
,negative
,negative
Адемы держится за голову в любом состоянии и в любом случае это будет очень тяжело для нас и мы будем стараться делать все чтобы,positive
,negative
,neutral
обосpaться какие качели,positive
"Везде очереди, если дождь идет, негде даже укрытся, качели половина не работает, одна кола внутри 2500 стоит , ужас ни ногой к вам больше",negative
Парк во👍 ждешь в очереди по 3 часа чтобы покататься 5 минут а если хочешь быстрее то плати сверху 20к. 1 проебанный телефон моего кента из 10,negative
,positive
,neutral
Мир фантазия өте күшті бірақ ақшаны крупный етіп ұстамаған дұрыс мейлінше ұсақ тиындар керек екен болмаса каспидегі ақшамен келген дұрыс екен,positive
Хорошо провели время с друзьями,positive
"дорого, большие очереди, в среднем на один аттракцион стояли 1-1,5 из-за тех перерывов в частности.",negative
Ужас просто 8000 вход часами стоишь в очереди это кошмар ничего не продумано,negative
,neutral
,negative
,negative
,positive
,negative
"14 июля, 40 минут стоим в очереди на вход.",negative
Аттракцион очень хороший но минус есть это большая очередь и еще аттракционы старые а так все кайф,neutral
Слишком дорого ещё если погода плохо будет не работает 👎🏽👎🏽👎🏽,negative
Цена очень высокая для 7-8 аттракционов из котор сядешь только 3-4 кругами. Зря потратили деньги,negative
"Парк хороший, только работники ТИРа обманывают!!! Не ходите в ТИР!!!",negative
Обслуживание 👌,positive
,negative
,negative
,negative
,positive
,negative
,neutral
Аттракционы отличные кафе плохое нету поворов на кассе не кого нету и плохое обслуживание,negative
просто так,negative
,negative
,negative
"здравствуйте, вы ничего не перепутали?
время полночь, рабочая неделя, вы орете на весь район!",negative
"Какого хрена в будний день ночью проводится мероприятие, очень громко, слышно аж на Жамбыла.",negative
Очень хорошо классно,positive
,negative
"Идиотизм , ничего нового так и не построили , зато сделали вип билеты)))
Кто хочет покататься нормально, теперь должен взять вип билеты ))
Просто ДНО",negative
,negative
прекраснооооо,positive
Переоцененная фигня,negative
,negative
,negative
,negative
Маленьких детей впускают на аттракционы! Не смотрят на рост ! Какая безответственность !,negative
,positive
,negative
Өте нашар детский атриакцион аз тек үлкендерге арналған 20мың ауаға кетті,negative
Много людей,positive
Аттракционы все работают. Но цены высокие на вход,positive
,neutral
Круто прикольно 1000/10,positive
,negative
"Просто ужас, потеряли денег(",negative
"Жалко потраченных денег. Персонал работает плохо, интересных аттракционов мало и те постоянно то на перерыв уходят то не работает((",neutral
,negative
Персонал работает очень медленно. Тянут время. Почему нет контроля качества обслуживания. Как будто гос. Служба обслуживает,negative
,positive
,neutral
,positive
Очень много людей даже в будний 😭,positive
,neutral
почему на анаконде только 9 мест?!,negative
🫰Классное место.,positive
хорошее место,positive
очень классный место. отрыкционы тоже экстрималны,positive
,positive
,negative
"Барлығы өте күшті , бірақ іштегі тағамдардың бағасы⬆️ өте қымбат🫢",neutral
,positive
,positive
"Хороший парк. Все хорошо, но кухня здесь ужас.",positive
вход билеты дорогие по моему мнению ✋🏼😔,negative
"Совсем не понравилось 😭детям вход 8 тыс это ужас 10 ,9 лет и там очень опасные ⚠️ аттракционы не каждую сядешь просто ходили гуляли",negative
ОЧЕНЬ КРУТО!!!,positive
Место классное но аттракционы уже надоели было бы классно новые аттракционы,neutral
Удобно что платишь один раз и катаешся сколько влезит,positive
"Было атмосферно ✅ единственное долго пришлось стоять в очереди, но это того стоит 👍🏻",positive
Очень комфортный место,positive
"Очень быстрое обслуживание, интересно и весело, цена для таких эмоций оправдана",positive
"сотрудники не до конца работают. по факту написано что работают до 9ти вечера, но на самом деле нас не впустили на колесо обозрение с 8:40…",neutral
"Мой любимый парк. Хорошие аттракционы , вежливый персонал . Еда дороговато обходится",positive
Разнообразие атпакционов,positive
"Мир фантазий самый популярный аттракцион в алмате я там много раз побывал мне все понравилось. Я получил большой адреналин, все супер",positive
Безумно прекрасный парк,positive
Просто супер,positive
,negative
Кайф 14727514,positive
"Огромные очереди даже в будние дни, стоишь в очереди не менее часа",negative
"Шикарные атракционы😍😍😘
Есть и страшные и обычные",positive
,positive
,neutral
Очень классные аттракционы советую,positive
Маған ұнады адреналин алдым әсіресе ромашк и лифт сосын карусел қатты ұнады,positive
"Очень здорово, буря эмоции гарантировано",positive
Мне всё понравилось,positive
Очереди треш,neutral
"Кто то вырвал на тарантуле и моя девушка села на рвоту, пожалуйста лучше смотрите на сидения когда садитесь на атракционы",negative
"Табиғаты керемет,ауасы күшті демалғанға өте жақсы.Достарыммен көп барамын және сүйікті жерлерімнің бірі.Баруға кеңес беремін,өкінбейсіздер",positive
"Людей много, зашёл, вышел через 10 минут потому что там не для молодёжи а для детей , нечё интересное",negative
Күшті ұнады,positive
,negative
"Большое количество перерывов у сотрудников, почему бы не сделать один большой?",neutral
шейкер топ,positive
Классное место. Очень понравилось.,positive
Өте тамаша,positive
,positive
Ужасная очередь и аттракционы часто закрываются на перерыв,negative
,negative
хороший парк много классных аттракционов,positive
"С едой проблемы тут фас фуд что за фак
Нормальный еды нет вообще",neutral
,positive
"Кассир сидит с недовольным лицом, огрызается",negative
очень отличное место,positive
Хорошое место,positive
Тошнит не возможно,positive
Главное внуки были в восторге,positive
"очень понравилось, было весело провести там время!",positive
"Летом всегда прихожу, мне нравится",positive
Капеец кайф всегда летом прихожу,positive
Цены ужасныееее!!!!,negative
"Дорого! Взрослым зачем так платить, все равно не пользуются",negative
Куда уже дороже? Каждый год цены растут,negative
Очень классно провели время вместо с семьёй,positive
чисто за цену в вход,negative
бағалары тым қымбат 🤕🤕,negative
"Классное место,платишь один раз и катаешься.Мне очень понравилось",positive
"Атракцион Ромашка самая лучшая, но цена слишком завышенная стала",positive
В прошлом году было 5к в этом стало аж 8к хотя ничего и не изменилось в самом парке,neutral
"Было весело, советую",positive
Тчен хоршая приложения,positive
Очень дорого стало,neutral
"Күшті, ішіндегі эмоцияннын барлыгын шыгарып аласын.",positive
Я вчера побывала там.Было очкнь интересно.Всем советую,positive
"Always huge queue, and no advantage for children age 14, takes full cost, a bit disappointed.",neutral
"пойдет, но очереди и цена жесть",neutral
Все хорошо но огромные очереди и высокие цены,positive
"Очень понравилось, но есть одно НО ..цены на мороженое и напитки в парке не приемлемые, совесть имейте.",positive
"Крутттттоооо, ходила 10 раз на бумеранг и на ромашку 😈🤙🏻",positive
Очень красиво,positive
Кайф имба бомба,positive
"Жмоты, в будни дни 7 тыс с ребенка,а вы выходные 8 тыс!!! Вода 0,5 стоит от 700 до 800 тенге, совсем совести нет у торгашей! Бессовестные не люди!!!",negative
Өте керемет жер 😊,positive
Я умер не ходите на лифт,negative
"Аттракционы классные, получили адреналин,ромашка и лифт топ🔥🔥🔥",positive
Очень классно!,positive
"Крута,кайф😍",positive
Я думаю что мир фантазия это самое увлекательное место там очень круто и весело провести время,positive
Классные аттракционы,positive
,negative
,positive
Слишком страшно,positive
,negative
Очень круто было,positive
"Всё круто, для тех кто любить адриналин",positive
,negative
,positive
"#31 аттракцион «Анаконда» стоящий человек постоянно уходит на перерыв, не по расписанию ❗️😡 Итак народу много, все ждут",negative
,negative
"не работает медпункт, ударился пирсингом уха, из-за плохого крепления страховочной системы. некоторые работники игнорируют просьбы",negative
"Классно провели время, только вот очереди капец как огогооо...",positive
,positive
"Идеальный парк,очень интересно везде чисто и приятные сотрудники🫶🏼",positive
"Очень хороший парк,лучшие аттракционы алматы",positive
"цена ненормальна, людей доху",negative
Так себе 😕,negative
,negative
Не стоит своих денег.,negative
"снижайте пожалуйста свои цены,бомба рожок 1000тг стоит вы гоните?",negative
"Народу много, цены завышены и качество падает",neutral
"Цены повышаются каждый год, а качество падает",neutral
,negative
На кассе женщина попросила оплатить пол суммы за четверых наличкой. Левачат.,negative
,negative
Все плохо очень даже печально,negative
,neutral
,neutral
Очень крутой и прикольный парк развлнченый сам был на самых страшных атракционах,positive
"Обслуживание ужасное ,контролеры все такие грубые ,зачем брать студентов если они не хотят стоять на жаре и работать
Больше ни ногой к вам",negative
,positive
,negative
"Провести время в этом парке, это плохая идея! Не стоит терять свое время. Очереди башенные.",negative
Вообще не советую!!! Слишком дорого еда и миллион очередь персоналы охранники грубые,negative
,positive
,negative
,negative
Все было очень классно понравилось,positive
"Обожаю этот парк,готова туда ходить каждый день❤️❤️❤️",positive
,negative
,negative
"Единственный минус, для взрослых мало аттракционов.",positive
было весело,positive
"Очень грязно в женском туалете, забитая раковина",negative
,negative
"Сотрудник грубый, командует все настроение испортили",negative
,positive
"С каждым годом цены все выше и выше, а очереди все больше и больше)",negative
,negative
"потерял портмоне черный,кто нашел сообщите,взамен получите подарок
09.06.2024",positive
"Классный аттракцион,можно и детям и взрослым кататься .Минус только вот еда и сушняк дорогие",positive
,negative
"Было класс, адреналин от одного вида некоторых аттракционов можно словить",positive
,negative
,negative
Обожаю паука и большой молот❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,positive
Фигня еще нету ночного сеанса,negative
"Самый лучший парк в Алматы!
Отличные аттракционы, для всех, и для детей и для взрослых.
Правда не радует что что очереди, а так отлично!",positive
очень круто даулет не бойся👍,positive
"Очереди бешенные, норм аттракционов 1-2 и все. За 7к не так уж и весело. Операторы грубые, да и перерывы эти.",negative
"Не стоит 7 тысяч, больше в очереди стоишь
Все детские карусели в общем не понравился не тратьтте деньги, сотрудникам вам наплевать",negative
Детский билет стоит как взрослый аттракционы в основном для подростков ужасное место больше ни ногой,negative
"Очереди огромные, а так все классно",positive
,negative
,negative
,negative
Я там была очень круто провела время. все атракционы просто бомба ходили до закрытие особенно ромашка понравилась советуюю😍,positive
Так руководство если вы берете деньги за VIP. То сделайте нормально вход и выходы что бы без очереди. Контролирующих людей дополнительно поставьте.,neutral
Атракционы лучшие прям выбросили адренолин,positive
Классно ваще,positive
Очень весело отдохнули с друзьями 10/10🤩,positive
ещкере самое лучшее место для веселья,positive
"Круто, советую всем посетить атракцион",positive
"Аттракционы нормальные , но столовая у входа ужасная , ждали 50 минут и заказ не выдали",negative
,positive
,neutral
,positive
"Мне кажется,вход 8тыс дороговато ,учитывая то ,что было 5тыс и работали все аттракционы. А как цену поменяли половина аттракционов не работают🫡",negative
,positive
За свою цену 👍👍👍👍,positive
отличный парк для отдыха,positive
Отличный парк. Но цена за вход дороговато если у тебя 4 ребенка,positive
Аттракционы очень хорошие.,neutral
Все безумно понравилось 🔥,positive
"Мне очень понравилось, советую вам лучший парк😍😍",positive
Прям түнде күштіі😍😍,positive
Прекрасный парк,positive
Классные аттракционы🔥,positive
аттракционы классные но большие очереди к обеду,positive
Очень классные аттракционы 🤗🤗,positive
Медпункт не работает 👍,negative
Күшті болды 14;00 де кірдік кешке дейін жүрдік . Кенгру ұнады . Очердь көп болды сонда да күшті болды 👍🏻,positive
Аттракцион просто вау за 5000 на весь день это стоит того,positive
Очень хорошие аттракционы 👍,positive
"Хороший парк, красивый, хорошо в нем",positive
Отличное место для встречи с друзьями,positive
Отлично место для отдыха весело и захватывающие,positive
"я там была, очень классно, всем советую, ШЕЙХ вообще сурер",positive
Очень весело было я ходил с друзьями,positive
,negative
"За что платить, необоснованно сделали парк платным, много что не работает, парк маленький, ооочень пожалел что ходил туда,
Парк Горького огонь",negative
Вопрос: каждому человеку нужно платить отдельно за вход 7-8тыс ?,positive
Всей семьёй гуляем здесь,positive
"Отличное место для развлечений, особенно с детьми! И цена доступная. 7000 тенге и полный безлимит на весь день! Катайся, хоть укатайся!",positive
,positive
,negative
,negative
А многодетным семьям есть скидка ??,negative
"👌🏻Крутоо ,,,,,,,,,,,,,, ммм",positive
"Собой еду и водой приносите, очень дорого 800тг за напиток 0.5",negative
"Нормально все дешево, но еду брать надо собой там дорого",positive
"Очень классно было , женщина на кассе вообще кдассная",positive
,negative
"лучшие аттракционы 😍 особенно тарантула и американские горки🤯🔥сходите там очень круто и весело,всееем советуююю!!!",positive
"Весело, красочно и дорого! 0,5 фюс чай 750 тг??? Что за кошмарные цены даже литр в магазинах так не стоит",neutral
"Было очень весело и классно, отлично провели время в данном парке🤭",positive
,negative
"Өте күшті жер көңіл көтеруге, адреналин алуға, маған ұнады❤️",positive
Спасибо за то что вернули меня обратно в детство 🥰) самый любимый парк всегда,positive
"Сделайте уже время до 22:00-23:00, это же не нормально делать до 9, думаю молодежи было бы очень удобно посещать парк в такое время.",negative
Здравствуйте! Вы в дождливые дни работаете?,positive
,negative
"Очередь огромная, ждешь по часу чтобы прокататься на одном аттракционе",neutral
Цена заоблачная,neutral
,negative
,negative
классно провели время ❤️,positive
"Мықты ,мықты дим",positive
Было классно кроме тарантулы,positive
Лет через 10 посетил 😅 все также. Диван почему то убрали 🤷‍♂️,positive
"Балалық шақты еске алып, адреналин мен эмоция алып қайттым🥰",positive
Круто ❤️❤️🔥🔥,positive
аттракциондар кушти но новинкалар косу керек,positive
,neutral
,negative
,positive
,negative
,positive
,neutral
,negative
,negative
,negative
,positive
,positive
,positive
,negative
,negative
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,neutral
,negative
,negative
,negative
,negative
,positive
,negative
,positive
,negative
,negative
,negative
,negative
,neutral
,neutral
,positive
,negative
,negative
,positive
,negative
,neutral
,neutral
,positive
,positive
,negative
,negative
,negative
,negative
,negative
,negative
,neutral
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,positive
,neutral
,positive
,negative
,positive
,negative
,negative
,positive
,negative
,neutral
,positive
,negative
,neutral
,negative
,negative
,positive
,negative
,positive
,negative
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,negative
,positive
,negative
,positive
,positive
,positive
,neutral
,positive
,positive
,positive
,positive
,positive
,negative
,positive
,positive
,positive
,positive
,positive
,negative
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,negative
,positive
,positive
,neutral
,neutral
,positive
,neutral
,positive
,positive
,positive
,positive
,positive
,positive
,neutral
,positive
,positive
,positive
,positive
,positive
,negative
,positive
,neutral
,positive
,positive
,positive
,positive
,neutral
,positive
,positive
,negative
,positive
,negative
,neutral
,positive
,positive
,negative
,positive
,positive
,positive
,positive
,negative
,positive
,positive
,positive
,neutral
,positive
,positive
,positive
,positive
,positive
,negative
,negative
,positive
,negative
,positive
,negative
,positive
,positive
,negative
,neutral
,negative
,neutral
,positive
,negative
,negative
,positive
,neutral
,negative
,negative
,positive
,positive
,negative
,negative
,negative
,positive
,positive
,neutral
,positive
,negative
,negative
,positive
,negative
,negative
,positive
,positive
,positive
,positive
,positive
,positive
,negative
,negative
,positive
,negative
,negative
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,positive
,negative
,positive
,negative
,positive
,negative
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,positive
,negative
,neutral
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,positive
,positive
,positive
,negative
,positive
,positive
,positive
,negative
,positive
,positive
,negative
,positive
,negative
,positive
,negative
,negative
,negative
,neutral
,negative
,negative
,negative
,positive
,positive
,negative
,neutral
,negative
,negative
,negative
,neutral
,neutral
,positive
,positive
,positive
,negative
,negative
,negative
,negative
,negative
,positive
,positive
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,positive
,negative
,negative
,negative
,positive
,negative
,negative
,positive
